mime_type_google, mime_type_local
application/vnd.google-apps.document,application/vnd.openxmlformats-officedocument.wordprocessingml.document
application/vnd.google-apps.drawing,image/png
application/vnd.google-apps.form,application/zip
application/vnd.google-apps.presentation,application/vnd.openxmlformats-officedocument.presentationml.presentation
application/vnd.google-apps.script,application/vnd.google-apps.script+json
application/vnd.google-apps.spreadsheet,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
